model,token,position,relative_position,seq_length,delta
ordinary_baseline,c,12,0.18181818181818182,66,0.03106546401977539
ordinary_baseline,(,13,0.19696969696969696,66,0.02367234230041504
ordinary_baseline,N,14,0.21212121212121213,66,0.0008029937744140625
ordinary_baseline,C,15,0.22727272727272727,66,0.023705482482910156
ordinary_baseline,(,16,0.24242424242424243,66,0.0005769729614257812
ordinary_baseline,=,17,0.25757575757575757,66,0.16544580459594727
ordinary_baseline,O,18,0.2727272727272727,66,0.2306833267211914
ordinary_baseline,),19,0.2878787878787879,66,0.15526914596557617
ordinary_baseline,c,20,0.30303030303030304,66,0.1699681282043457
ordinary_baseline,2,21,0.3181818181818182,66,0.1282052993774414
ordinary_baseline,c,22,0.3333333333333333,66,0.13276433944702148
ordinary_baseline,c,23,0.3484848484848485,66,0.13276433944702148
ordinary_baseline,c,24,0.36363636363636365,66,0.13276433944702148
ordinary_baseline,3,25,0.3787878787878788,66,0.10805225372314453
ordinary_baseline,[nH],26,0.3939393939393939,66,0.10661745071411133
ordinary_baseline,c,27,0.4090909090909091,66,0.15890836715698242
ordinary_baseline,(,28,0.42424242424242425,66,0.2342057228088379
ordinary_baseline,-,29,0.4393939393939394,66,0.22667503356933594
ordinary_baseline,c,30,0.45454545454545453,66,0.19869112968444824
ordinary_baseline,4,31,0.4696969696969697,66,0.10988664627075195
ordinary_baseline,c,32,0.48484848484848486,66,0.12021231651306152
ordinary_baseline,c,33,0.5,66,0.12021231651306152
ordinary_baseline,c,34,0.5151515151515151,66,0.12021231651306152
ordinary_baseline,c,35,0.5303030303030303,66,0.12021231651306152
ordinary_baseline,(,36,0.5454545454545454,66,0.12315821647644043
ordinary_baseline,-,37,0.5606060606060606,66,0.10400915145874023
ordinary_baseline,c,38,0.5757575757575758,66,0.05852651596069336
ordinary_baseline,5,39,0.5909090909090909,66,0.05725908279418945
ordinary_baseline,n,40,0.6060606060606061,66,0.04034233093261719
ordinary_baseline,c,41,0.6212121212121212,66,0.02836322784423828
ordinary_baseline,6,42,0.6363636363636364,66,0.00080108642578125
ordinary_baseline,c,43,0.6515151515151515,66,0.034974098205566406
ordinary_baseline,c,44,0.6666666666666666,66,0.034974098205566406
ordinary_baseline,(,45,0.6818181818181818,66,0.038927555084228516
ordinary_baseline,[*],46,0.696969696969697,66,0.02766251564025879
