source_id,model,best_drift,found,query_count,valid_rate,drift_at_Q5,drift_at_Q10,drift_at_Q20,drift_at_Q50
poly_4015,D1,0.2713707685470581,True,50,1.0,0.2713707685470581,0.2713707685470581,0.2713707685470581,0.2713707685470581
poly_517,D1,0.5021796822547913,True,50,1.0,0.4732821583747864,0.47536832094192505,0.47536832094192505,0.5021796822547913
poly_1159,D1,0.20063120126724243,True,50,1.0,0.08294761180877686,0.10556185245513916,0.20063120126724243,0.20063120126724243
poly_2493,D1,0.06795603036880493,True,50,1.0,0.062202632427215576,0.062202632427215576,0.062202632427215576,0.06795603036880493
poly_2226,D1,0.0696064829826355,True,50,1.0,0.03385820984840393,0.06365126371383667,0.06365126371383667,0.0696064829826355
poly_17,D1,0.6389580965042114,True,50,1.0,0.3043482303619385,0.6389580965042114,0.6389580965042114,0.6389580965042114
poly_956,D1,0.07834318280220032,True,50,1.0,0.028905004262924194,0.03048604726791382,0.03048604726791382,0.07834318280220032
poly_898,D1,0.2090049386024475,True,50,1.0,0.2090049386024475,0.2090049386024475,0.2090049386024475,0.2090049386024475
poly_1667,D1,0.6104220747947693,True,50,1.0,0.13366132974624634,0.13366132974624634,0.6104220747947693,0.6104220747947693
poly_3362,D1,0.3846938908100128,True,50,1.0,0.23706290125846863,0.23706290125846863,0.3846938908100128,0.3846938908100128
poly_3703,D1,0.46075865626335144,True,50,1.0,0.46075865626335144,0.46075865626335144,0.46075865626335144,0.46075865626335144
poly_793,D1,0.28183114528656006,True,50,1.0,0.2583879232406616,0.2583879232406616,0.28183114528656006,0.28183114528656006
poly_3189,D1,0.32981082797050476,True,50,1.0,0.1244623064994812,0.219946026802063,0.32981082797050476,0.32981082797050476
poly_2734,D1,0.13743916153907776,True,50,1.0,0.13743916153907776,0.13743916153907776,0.13743916153907776,0.13743916153907776
poly_1549,D1,0.154463529586792,True,50,1.0,0.074043869972229,0.10979628562927246,0.10979628562927246,0.154463529586792
poly_3746,D1,0.1227654218673706,True,50,1.0,0.10447344183921814,0.10447344183921814,0.1227654218673706,0.1227654218673706
poly_2736,D1,0.11237195134162903,True,50,1.0,0.037196844816207886,0.04165416955947876,0.04210361838340759,0.11237195134162903
poly_1005,D1,0.8455357551574707,True,50,1.0,0.25571000576019287,0.8455357551574707,0.8455357551574707,0.8455357551574707
poly_367,D1,0.5052875876426697,True,50,1.0,0.43595463037490845,0.4829419255256653,0.4829419255256653,0.5052875876426697
poly_2223,D1,0.08006101846694946,True,50,1.0,0.025329530239105225,0.043153226375579834,0.07313352823257446,0.08006101846694946
poly_3386,D1,0.37469446659088135,True,50,1.0,0.35016143321990967,0.35016143321990967,0.37469446659088135,0.37469446659088135
poly_1160,D1,0.7621439099311829,True,50,1.0,0.36415648460388184,0.717457115650177,0.717457115650177,0.7621439099311829
poly_1072,D1,0.05840855836868286,True,50,1.0,0.03259927034378052,0.05840855836868286,0.05840855836868286,0.05840855836868286
poly_675,D1,0.08199554681777954,True,50,1.0,0.028798937797546387,0.08199554681777954,0.08199554681777954,0.08199554681777954
poly_754,D1,0.34507548809051514,True,50,1.0,0.05910378694534302,0.05910378694534302,0.18904125690460205,0.34507548809051514
poly_2459,D1,0.1682911515235901,True,50,1.0,0.08659583330154419,0.1682911515235901,0.1682911515235901,0.1682911515235901
poly_155,D1,1.019270658493042,True,50,1.0,0.9316163659095764,0.9316163659095764,0.9316163659095764,1.019270658493042
poly_2461,D1,0.11907291412353516,True,50,1.0,0.01760154962539673,0.08311378955841064,0.11907291412353516,0.11907291412353516
poly_2368,D1,0.051711440086364746,True,50,1.0,0.02343672513961792,0.025413036346435547,0.051711440086364746,0.051711440086364746
poly_512,D1,0.6709176898002625,True,50,1.0,0.1514013409614563,0.1514013409614563,0.6709176898002625,0.6709176898002625
poly_1419,D1,0.9491901397705078,True,50,1.0,0.4259432256221771,0.4259432256221771,0.6393529176712036,0.9491901397705078
poly_2967,D1,0.12354466319084167,True,50,1.0,0.08988633751869202,0.11629515886306763,0.11629515886306763,0.12354466319084167
poly_2076,D1,0.09163334965705872,True,50,1.0,0.04209461808204651,0.08479371666908264,0.08479371666908264,0.09163334965705872
poly_1298,D1,0.13658195734024048,True,50,1.0,0.10606175661087036,0.10957884788513184,0.13658195734024048,0.13658195734024048
poly_1468,D1,0.07593852281570435,True,50,1.0,0.0641855001449585,0.0641855001449585,0.0674242377281189,0.07593852281570435
poly_2730,D1,0.07282435894012451,True,50,1.0,0.05751422047615051,0.05751422047615051,0.058311015367507935,0.07282435894012451
poly_1609,D1,0.3328166902065277,True,50,1.0,0.07088407874107361,0.20195764303207397,0.20195764303207397,0.3328166902065277
poly_1809,D1,1.4380816221237183,True,50,1.0,0.6895737648010254,1.011726975440979,1.011726975440979,1.4380816221237183
poly_3627,D1,0.11550691723823547,True,50,1.0,0.11550691723823547,0.11550691723823547,0.11550691723823547,0.11550691723823547
