source_id,model,strategy,budget,best_drift,oracle_drift,recovery_ratio,hit
poly_1160,ordinary_baseline,random,5,0.9389834403991699,1.3397412300109863,0.7008692569620104,0
poly_1072,ordinary_baseline,random,5,0.6132164001464844,1.1312944889068604,0.542048428733193,0
poly_675,ordinary_baseline,random,5,0.3214149475097656,1.84855055809021,0.17387403666244786,0
poly_754,ordinary_baseline,random,5,0.052107810974121094,1.2394781112670898,0.04204012196782764,0
poly_2459,ordinary_baseline,random,5,0.28972291946411133,1.039024829864502,0.2788411894852347,0
poly_155,ordinary_baseline,random,5,0.12978386878967285,1.4953334331512451,0.08679259482359604,0
poly_2461,ordinary_baseline,random,5,0.36763525009155273,2.4917051792144775,0.1475436392548863,0
poly_2368,ordinary_baseline,random,5,0.18961572647094727,1.811194896697998,0.10469095668093865,0
poly_512,ordinary_baseline,random,5,0.07934069633483887,0.7956597805023193,0.0997168617530839,0
poly_1419,ordinary_baseline,random,5,0.9975557327270508,0.9975557327270508,1.0,1
poly_2967,ordinary_baseline,random,5,0.6752529144287109,0.8863186836242676,0.7618624394416663,0
poly_2076,ordinary_baseline,random,5,0.2553596496582031,2.2895259857177734,0.1115338507844658,0
poly_1298,ordinary_baseline,random,5,0.27868080139160156,1.7785420417785645,0.15669058973321612,0
poly_1468,ordinary_baseline,random,5,0.269972562789917,1.5610723495483398,0.17294045523772636,0
poly_2730,ordinary_baseline,random,5,0.14103269577026367,1.0613441467285156,0.1328812112498877,0
poly_1609,ordinary_baseline,random,5,0.9203801155090332,0.9203801155090332,1.0,1
poly_1809,ordinary_baseline,random,5,0.6752173900604248,0.9988312721252441,0.6760074588210919,0
poly_3627,ordinary_baseline,random,5,1.3088326454162598,1.3088321685791016,1.000000364322615,1
poly_660,ordinary_baseline,random,5,1.7256112098693848,2.2220091819763184,0.7765994955676002,0
poly_1826,ordinary_baseline,random,5,0.17788934707641602,0.8392295837402344,0.21196744076109436,0
poly_2932,ordinary_baseline,random,5,1.4729504585266113,2.1590752601623535,0.682213578055566,0
poly_442,ordinary_baseline,random,5,0.06955933570861816,0.6484041213989258,0.10727775073135648,0
poly_449,ordinary_baseline,random,5,0.5512709617614746,0.7699258327484131,0.7160052803964199,0
poly_2437,ordinary_baseline,random,5,0.18379497528076172,1.8300137519836426,0.10043365798838245,0
poly_2772,ordinary_baseline,random,5,0.19137907028198242,1.166825771331787,0.16401683523286165,0
poly_3030,ordinary_baseline,random,5,0.34812068939208984,0.8727903366088867,0.39885946806499656,0
poly_3779,ordinary_baseline,random,5,0.5214323997497559,1.1499414443969727,0.45344256639362546,0
poly_2836,ordinary_baseline,random,5,0.5370502471923828,1.032792091369629,0.519998411761827,0
poly_2367,ordinary_baseline,random,5,0.5498425960540771,1.7169358730316162,0.32024643709215117,0
poly_1211,ordinary_baseline,random,5,1.3298649787902832,2.208420991897583,0.6021791060986059,0
poly_3019,ordinary_baseline,random,5,0.4875788688659668,0.8695745468139648,0.5607096834335913,0
poly_3129,ordinary_baseline,random,5,0.50244140625,1.1890311241149902,0.4225637126395434,0
poly_2068,ordinary_baseline,random,5,1.497952938079834,1.4979538917541504,0.9999993633486841,1
poly_782,ordinary_baseline,random,5,0.008489608764648438,0.7843387126922607,0.010823906339529843,0
poly_45,ordinary_baseline,random,5,1.2811548709869385,1.4374184608459473,0.8912887275936022,0
poly_3063,ordinary_baseline,random,5,0.9746189117431641,1.1043891906738281,0.8824958809570687,0
poly_903,ordinary_baseline,random,5,0.022058963775634766,0.7673673629760742,0.028746288726801825,0
poly_3763,ordinary_baseline,random,5,0.6787838935852051,2.0192179679870605,0.3361617736899788,0
poly_990,ordinary_baseline,random,5,0.6450486183166504,1.687851905822754,0.3821713362951813,0
poly_1689,ordinary_baseline,random,5,0.19455480575561523,1.8422179222106934,0.10560900717008881,0
poly_2093,ordinary_baseline,random,5,0.17161798477172852,0.897301197052002,0.19126017588694091,0
poly_3799,ordinary_baseline,random,5,0.40631914138793945,1.1011090278625488,0.3690090001138926,0
poly_930,ordinary_baseline,random,5,1.5205104351043701,1.6870548725128174,0.9012809600197625,0
poly_3620,ordinary_baseline,random,5,1.638535976409912,1.6385364532470703,0.9999997089859324,1
poly_2098,ordinary_baseline,random,5,0.08910846710205078,1.1938190460205078,0.07464151908037162,0
