source_id,true_label,motif_a_attribution,motif_b_attribution,intervening_region_attribution,background_attribution
783,1,0.028267912566661835,0.04094129055738449,0.03752951696515083,0.03819777071475983
787,0,0.030623450875282288,0.024274930357933044,0.03662988170981407,0.031797897070646286
794,0,0.06659840792417526,0.02225257083773613,0.021156830713152885,0.014795470051467419
831,1,0.058340370655059814,0.0408526211977005,0.0429878905415535,0.03520319610834122
841,0,0.050274841487407684,0.14819088578224182,0.0497710183262825,0.049911580979824066
848,1,0.02220071852207184,0.04635921120643616,0.05193248391151428,0.04571698233485222
878,0,0.023906167596578598,0.04927942529320717,0.01777816377580166,0.020017867907881737
881,0,0.026665501296520233,0.05613114312291145,0.02915504202246666,0.0202682763338089
882,0,0.05941574275493622,0.05140766501426697,0.04814957082271576,0.05968243256211281
905,0,0.005399384535849094,0.005184757523238659,0.005758841056376696,0.004589821211993694
906,0,0.04986736178398132,0.04244665801525116,0.043463174253702164,0.04752914234995842
911,0,0.004108385648578405,0.007968686521053314,0.0058967177756130695,0.007779160980135202
915,1,0.029799386858940125,0.23355799913406372,0.06120442599058151,0.05196056887507439
925,0,0.06288124620914459,0.05948100984096527,0.0345466174185276,0.04357803612947464
940,0,0.12392470240592957,0.09632965922355652,0.07054649293422699,0.06169774383306503
947,1,0.11371807754039764,0.04354242980480194,0.04285856708884239,0.04262673482298851
957,0,0.058750733733177185,0.043876200914382935,0.04618636146187782,0.0544867143034935
960,0,0.03758735954761505,0.13600577414035797,0.045228511095047,0.04663561284542084
972,0,0.00588802108541131,0.019656285643577576,0.005364279728382826,0.00807606615126133
985,1,0.07685202360153198,0.05433832108974457,0.04257823899388313,0.039606254547834396
1005,1,0.03796795755624771,0.03287142515182495,0.030040495097637177,0.03152170777320862
1016,1,0.054026782512664795,0.031149253249168396,0.040582623332738876,0.04339488968253136
