Q,strategy,operator,source_id,declared_budget,queries_counted_by_budget,predictor_predict_calls,molecules_sent_to_model,raw_proposals,valid_proposals,duplicate_valid_proposals,unique_valid_proposals
20,Evolutionary,SimpleSubst,3539,20,20,44,4,21,21,8,13
20,Evolutionary,SimpleSubst,2958,20,20,44,0,89,89,0,89
20,Evolutionary,SimpleSubst,3459,20,20,44,1,50,50,4,46
20,Evolutionary,SimpleSubst,3385,20,20,44,0,14,14,0,14
20,Evolutionary,SimpleSubst,3281,20,20,44,0,55,55,4,51
20,Evolutionary,SimpleSubst,3449,20,20,44,0,35,35,0,35
20,Evolutionary,SimpleSubst,3350,20,20,44,0,29,29,6,23
20,Evolutionary,SimpleSubst,3572,20,20,44,0,53,53,0,53
20,Evolutionary,SimpleSubst,3201,20,20,44,0,30,30,0,30
20,Evolutionary,SimpleSubst,3453,20,20,44,0,36,36,2,34
20,Evolutionary,SimpleSubst,3482,20,20,44,0,26,26,2,24
20,Evolutionary,SimpleSubst,3381,20,20,44,4,27,27,8,19
20,Evolutionary,SimpleSubst,3422,20,20,44,0,34,34,0,34
20,Evolutionary,SimpleSubst,3176,20,20,44,0,50,50,0,50
20,Evolutionary,SimpleSubst,3200,20,20,44,2,17,17,2,15
20,Evolutionary,SimpleSubst,3427,20,20,44,0,56,56,0,56
20,Evolutionary,SimpleSubst,3258,20,20,44,0,40,40,0,40
20,Evolutionary,SimpleSubst,3295,20,20,44,0,57,57,4,53
20,Evolutionary,SimpleSubst,3471,20,20,44,2,15,15,2,13
20,Evolutionary,SimpleSubst,3537,20,20,44,0,47,47,6,41
20,Evolutionary,SimpleSubst,3008,20,20,44,0,67,67,10,57
20,Evolutionary,SimpleSubst,3411,20,20,44,0,38,38,0,38
20,Evolutionary,SimpleSubst,3361,20,20,44,0,74,74,0,74
20,Evolutionary,SimpleSubst,3084,20,20,44,0,18,18,0,18
20,Evolutionary,SimpleSubst,3132,20,20,44,0,47,47,8,39
20,Evolutionary,SimpleSubst,3430,20,20,44,0,26,26,2,24
20,Evolutionary,Motif,3167,20,1,6,0,1,1,0,1
20,Evolutionary,Motif,3128,20,20,44,0,18,18,0,18
20,Evolutionary,Motif,3364,20,1,6,0,1,0,0,0
20,Evolutionary,Motif,3414,20,20,44,0,18,18,0,18
20,Evolutionary,Motif,3539,20,4,12,0,3,3,0,3
20,Evolutionary,Motif,2958,20,20,44,0,50,50,0,50
20,Evolutionary,Motif,3459,20,20,44,0,25,25,0,25
20,Evolutionary,Motif,3385,20,2,8,0,2,2,0,2
20,Evolutionary,Motif,3281,20,1,6,0,1,0,0,0
20,Evolutionary,Motif,3449,20,20,44,0,14,14,0,14
20,Evolutionary,Motif,3350,20,20,44,0,11,11,0,11
20,Evolutionary,Motif,3572,20,20,44,0,26,26,0,26
20,Evolutionary,Motif,3201,20,1,6,0,1,0,0,0
20,Evolutionary,Motif,3453,20,1,6,0,1,0,0,0
20,Evolutionary,Motif,3482,20,1,6,0,1,0,0,0
20,Evolutionary,Motif,3381,20,4,12,0,3,3,0,3
20,Evolutionary,Motif,3422,20,20,44,0,20,20,0,20
20,Evolutionary,Motif,3176,20,20,44,0,26,26,0,26
20,Evolutionary,Motif,3200,20,11,26,0,5,5,0,5
20,Evolutionary,Motif,3427,20,20,44,0,24,24,0,24
20,Evolutionary,Motif,3258,20,20,44,0,16,16,0,16
20,Evolutionary,Motif,3295,20,20,44,0,23,23,0,23
20,Evolutionary,Motif,3471,20,6,16,0,4,4,0,4
20,Evolutionary,Motif,3537,20,20,44,0,19,19,0,19
20,Evolutionary,Motif,3008,20,20,44,2,10,10,0,10
20,Evolutionary,Motif,3411,20,20,44,0,16,16,0,16
20,Evolutionary,Motif,3361,20,20,44,0,40,40,0,40
20,Evolutionary,Motif,3084,20,20,44,2,11,11,0,11
20,Evolutionary,Motif,3132,20,20,44,0,17,17,0,17
20,Evolutionary,Motif,3430,20,9,22,0,4,4,0,4
50,Random,SimpleSubst,3167,50,50,104,0,27,27,8,19
50,Random,SimpleSubst,3128,50,50,104,2,38,38,0,38
50,Random,SimpleSubst,3364,50,50,104,5,39,39,4,35
50,Random,SimpleSubst,3414,50,50,104,6,48,48,6,42
50,Random,SimpleSubst,3539,50,50,104,0,21,21,8,13
50,Random,SimpleSubst,2958,50,50,104,10,89,89,0,89
50,Random,SimpleSubst,3459,50,50,104,5,50,50,4,46
50,Random,SimpleSubst,3385,50,50,104,0,14,14,0,14
50,Random,SimpleSubst,3281,50,50,104,10,55,55,4,51
50,Random,SimpleSubst,3449,50,50,104,2,35,35,0,35
50,Random,SimpleSubst,3350,50,50,104,1,29,29,6,23
50,Random,SimpleSubst,3572,50,50,104,4,53,53,0,53
50,Random,SimpleSubst,3201,50,50,104,4,30,30,0,30
50,Random,SimpleSubst,3453,50,50,104,6,36,36,2,34
50,Random,SimpleSubst,3482,50,50,104,2,26,26,2,24
50,Random,SimpleSubst,3381,50,50,104,0,27,27,8,19
50,Random,SimpleSubst,3422,50,50,104,2,34,34,0,34
50,Random,SimpleSubst,3176,50,50,104,10,50,50,0,50
50,Random,SimpleSubst,3200,50,50,104,0,17,17,2,15
50,Random,SimpleSubst,3427,50,50,104,6,56,56,0,56
50,Random,SimpleSubst,3258,50,50,104,4,40,40,0,40
50,Random,SimpleSubst,3295,50,50,104,9,57,57,4,53
50,Random,SimpleSubst,3471,50,50,104,0,15,15,2,13
50,Random,SimpleSubst,3537,50,50,104,6,47,47,6,41
50,Random,SimpleSubst,3008,50,50,104,6,67,67,10,57
50,Random,SimpleSubst,3411,50,50,104,4,38,38,0,38
50,Random,SimpleSubst,3361,50,50,104,11,74,74,0,74
50,Random,SimpleSubst,3084,50,50,104,0,18,18,0,18
50,Random,SimpleSubst,3132,50,50,104,2,47,47,8,39
50,Random,SimpleSubst,3430,50,50,104,3,26,26,2,24
50,Random,Motif,3167,50,50,104,0,1,1,0,1
50,Random,Motif,3128,50,50,104,0,18,18,0,18
50,Random,Motif,3364,50,50,104,0,1,0,0,0
50,Random,Motif,3414,50,50,104,0,18,18,0,18
50,Random,Motif,3539,50,50,104,0,3,3,0,3
50,Random,Motif,2958,50,50,104,6,50,50,0,50
50,Random,Motif,3459,50,50,104,2,25,25,0,25
50,Random,Motif,3385,50,50,104,0,2,2,0,2
50,Random,Motif,3281,50,50,104,0,1,0,0,0
50,Random,Motif,3449,50,50,104,0,14,14,0,14
50,Random,Motif,3350,50,50,104,0,11,11,0,11
50,Random,Motif,3572,50,50,104,0,26,26,0,26
50,Random,Motif,3201,50,50,104,0,1,0,0,0
50,Random,Motif,3453,50,50,104,0,1,0,0,0
50,Random,Motif,3482,50,50,104,0,1,0,0,0
50,Random,Motif,3381,50,50,104,0,3,3,0,3
50,Random,Motif,3422,50,50,104,0,20,20,0,20
50,Random,Motif,3176,50,50,104,3,26,26,0,26
50,Random,Motif,3200,50,50,104,0,5,5,0,5
50,Random,Motif,3427,50,50,104,0,24,24,0,24
50,Random,Motif,3258,50,50,104,0,16,16,0,16
50,Random,Motif,3295,50,50,104,1,23,23,0,23
50,Random,Motif,3471,50,50,104,0,4,4,0,4
50,Random,Motif,3537,50,50,104,0,19,19,0,19
50,Random,Motif,3008,50,50,104,0,10,10,0,10
50,Random,Motif,3411,50,50,104,0,16,16,0,16
50,Random,Motif,3361,50,50,104,0,40,40,0,40
50,Random,Motif,3084,50,50,104,0,11,11,0,11
50,Random,Motif,3132,50,50,104,0,17,17,0,17
50,Random,Motif,3430,50,50,104,0,4,4,0,4
50,Greedy,SimpleSubst,3167,50,50,108,18,27,27,8,19
50,Greedy,SimpleSubst,3128,50,50,108,14,38,38,0,38
50,Greedy,SimpleSubst,3364,50,50,108,17,39,39,4,35
50,Greedy,SimpleSubst,3414,50,50,108,7,48,48,6,42
50,Greedy,SimpleSubst,3539,50,50,110,8,21,21,8,13
50,Greedy,SimpleSubst,2958,50,50,106,11,89,89,0,89
50,Greedy,SimpleSubst,3459,50,50,106,9,50,50,4,46
50,Greedy,SimpleSubst,3385,50,42,94,20,14,14,0,14
50,Greedy,SimpleSubst,3281,50,50,106,12,55,55,4,51
