query_budget,method,source_id,source_smiles,phase12b_drift_eV,phase12b_queries,v2_drift_eV,v2_queries,v2_operator_edits,v2_atom_edits,drift_ratio_v2_over_phase12b
10,metropolis,19,*CC(CO*)(CS(=O)(=O)CCC)CS(=O)(=O)CCC,0.620140552520752,10,0.24300527572631836,10,3,1,0.3918551604770059
10,metropolis,20,*CC(C)(C)CS(*)(=O)=O,0.9943971633911133,10,1.430992603302002,10,3,1,1.4390553955544303
10,metropolis,21,*C(F)C(*)(F)OC(F)(F)F,1.949500560760498,10,1.3813257217407227,10,3,1,0.7085536416577736
10,metropolis,22,*CC(*)C(=O)OCCCCC,1.8572640419006348,10,1.7872681617736816,10,3,3,0.9623123699442742
10,metropolis,23,*CC(*)(C)C(=O)OCCCOC,1.6747698783874512,10,1.2097811698913574,10,3,2,0.7223566565791073
10,metropolis,24,*C=CCCCCCCCCCC*,1.0048770904541016,10,1.0011401176452637,10,3,3,0.9962811642893071
10,metropolis,25,*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,1.844571590423584,10,0.24880599975585938,10,3,2,0.13488552086976685
10,metropolis,26,*CC(*)(F)C(=O)OCC(F)(F)C(F)(F)F,1.6640777587890625,10,0.5622129440307617,10,3,3,0.3378525679231961
10,metropolis,27,*CCCCCCCCCCCCC(=O)N*,1.5013294219970703,10,1.6462783813476562,10,3,3,1.0965470716998102
10,metropolis,28,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,1.1724920272827148,10,0.9723691940307617,10,3,3,0.8293183846070632
10,metropolis,29,*CCCCCNC(=O)C(OC)C(OC)C(=O)N*,0.33346128463745117,10,1.114943504333496,10,3,3,3.3435470793729327
50,random,0,*C#CC(CCCCOC(=O)NCCC)=C(*)CCCCOC(=O)NCCC,0.6894159317016602,50,0.6894159317016602,50,1,1,1.0
50,random,1,*CC(*)C=C,1.4197659492492676,50,1.4197659492492676,10,1,1,1.0
50,random,2,*CC(=S)NO*,1.5716490745544434,50,1.8943266868591309,13,1,1,1.2053114893960444
50,random,3,*CC(=O)CC(*)=S,2.1231131553649902,50,1.7548942565917969,14,1,1,0.8265665219761252
50,random,4,*CC(=O)C(=S)C(*)=O,2.1563773155212402,50,1.6089582443237305,15,1,1,0.7461394778839122
50,random,5,*C#Cc1cc(C#Cc2cc(N)c(*)cc2[N+](=O)[O-])c(OCCOCCOC)cc1OCCOCCOC,0.42601966857910156,50,0.35648488998413086,50,1,1,0.8367803561115166
50,random,6,*C#Cc1ccc(C#Cc2sc(*)c([N+](=O)[O-])c2[N+](=O)[O-])cc1,1.0459063053131104,50,0.8688938617706299,31,1,1,0.8307568826736457
50,random,7,*C#Cc1sc(C#Cc2ccc(*)nc2)c([N+](=O)[O-])c1[N+](=O)[O-],0.9489622116088867,50,0.7270669937133789,33,1,1,0.7661706491775865
50,random,8,*CCCCCCCCCCOC(=O)c1ccc(C=Cc2ccc(C(=O)O*)cc2)cc1,0.5394117832183838,50,0.5878808498382568,50,1,1,1.089855409406676
50,random,9,*C=Cc1csc(C=Cc2cccc(*)n2)c1CCCCCCCC,1.3068335056304932,50,0.5258514881134033,44,1,1,0.40238598555039473
50,random,10,*CC(*)C(=O)NCCO,1.3032522201538086,50,1.3032522201538086,22,1,1,1.0
50,random,11,*CC(*)C(=O)SC(C)CC,0.9964599609375,50,0.9964599609375,25,1,1,1.0
50,random,12,*OC(=O)CCSCCC(*)=O,0.7572569847106934,50,1.3366832733154297,26,1,1,1.7651646670860401
50,random,13,*CC(*)C(=O)OCCCSCC,1.278144359588623,50,1.278144359588623,31,1,1,1.0
50,random,14,*C=CC(C)C(*)C(=O)OCCCC,1.0944733619689941,50,1.1888632774353027,32,1,1,1.0862423141084931
50,random,15,*NC(CCC(=O)OCCCC)C(*)=O,1.3582825660705566,50,1.3582825660705566,35,1,1,1.0
50,random,16,*CC(*)(C#N)C(=O)OCC(C)OCC=C,1.384636402130127,50,1.7012114524841309,34,1,1,1.2286340658580002
