source_id,strategy,candidate,baseline_drift,robust_drift,transfer_ratio
poly_2098,greedy,[*]Os1ccc(C2(c3ccc(OC(=O)CCCCCCCCC([*])=O)cc3)c3ccccc3Cc3ccccc32)cc1,1.1938190460205078,0.7799105644226074,0.6532904354494692
poly_2098,metropolis,[*]Os1ccc(C2(c3ccs(OC(=O)CCCSCCCCC([*])=O)cc3)c3ccccc3Cc3ccccc32)cc1,1.737022876739502,0.8007843494415283,0.4610096736000676
poly_2098,random,[*]Cs1ccc(C2(c3ccs(OC(=O)CCCCCCCCC([*])=O)cc3)c3ccccc3Cc3ccccc32)cc1,1.8949639797210693,1.2946157455444336,0.6831875219786476
poly_2124,greedy,[*]OC1(S)CC(C)(C)C(C)(N2CCCC([*])C2)C1C,0.9340291023254395,0.360898494720459,0.3863889185272011
poly_2124,metropolis,[*]NC1(C)CC(C)(C)C(C)(N2CCCS([*])C2)C1S,1.4261579513549805,0.7177619934082031,0.5032836599384126
poly_2124,random,[*]OC1(C)CC(C)(C)C(C)(S2CCSC([*])O2)C1C,1.1030359268188477,0.573967456817627,0.5203524589384386
poly_2156,greedy,[*]Nc1c(S)cs([*])cc1Cl,2.8821542263031006,0.16803479194641113,0.05830180439786772
poly_2156,metropolis,[*]Ns1s(S)cc([*])cc1Cl,2.970668077468872,0.34309959411621094,0.11549576902194522
poly_2156,random,[*]Ns1c(S)cc([*])cc1Cl,2.873002290725708,0.2644054889678955,0.09203107488685915
poly_2200,greedy,[*]NC(CCCNC(=O)s1ccc(F)cc1)C([*])=O,1.1388933658599854,0.9083309173583984,0.7975557190751675
poly_2200,metropolis,[*]NC(NCCNC(=I)s1ccc(F)cc1)C([*])=O,1.896479606628418,0.8578824996948242,0.4523552463714477
poly_2200,random,[*]NP(CCCCC(=O)s1ccc(F)cc1)C([*])=O,1.628749132156372,1.1302783489227295,0.6939548433872714
poly_2223,greedy,[*]C(=O)s1ccc(C(=O)N2CCN([*])CC2)cc1,1.5108237266540527,1.6854438781738281,1.115579434211361
poly_2223,metropolis,[*]C(=P)s1ccs(C(=O)N2CCN([*])CC2)cc1,1.9246153831481934,1.9302597045898438,1.0029327009911029
poly_2223,random,[*]C(=P)s1ccc(C(=P)N2CCN([*])CC2)cc1,1.6996779441833496,1.558593511581421,0.9169934321471024
poly_2226,greedy,[*]CCCOC(=O)c1cccc(-s2cccc(C(=O)O[*])c2)c1,1.6637754440307617,0.7228908538818359,0.4344882336588148
poly_2226,metropolis,[*]CCCOC(=O)c1cccs(-c2cccs(C(=O)N[*])c2)c1,2.5412685871124268,0.751664400100708,0.2957831391426451
poly_2226,random,[*]PCCOC(=O)c1cccc(-s2cccc(C(=O)O[*])c2)c1,1.942927598953247,0.4819519519805908,0.2480545092057175
poly_231,greedy,[*]N=s1c(=Nc2ccc([*])cc2)c2cccs3cccc1c32,1.5473666191101074,0.3604729175567627,0.23295895950248116
poly_231,metropolis,[*]C=s1c(=Nc2ccc([*])cc2)c2cccs3cccc1c32,1.7236557006835938,0.40436649322509766,0.2345981816813693
poly_231,random,[*]N=s1c(=Nc2ccc([*])nc2)c2cccs3cccc1c32,1.5032927989959717,0.30254340171813965,0.20125380891879757
poly_2356,greedy,[*]CIC(S1)=CC=C1S[*],1.8810696601867676,1.1872146129608154,0.631138037090524
poly_2356,metropolis,[*]NOC(S1)=CN=C1S[*],2.180959939956665,1.863407850265503,0.8543980181050589
