source_id,op,clean_pos,adv_pos,clean_delta,adv_delta
3648,matched,24.0,24.0,0.024489402770996,0.2564206123352051
3648,matched,25.0,25.0,0.0761446952819824,0.077768325805664
3648,matched,26.0,26.0,0.1323394775390625,0.1286678314208984
3648,matched,27.0,27.0,0.2942051887512207,0.1684446334838867
3648,matched,28.0,28.0,0.3386898040771484,0.2320079803466797
3648,matched,29.0,29.0,0.1772847175598144,0.1113028526306152
3648,matched,30.0,30.0,0.1772847175598144,0.1113028526306152
3648,matched,31.0,31.0,0.0382351875305175,0.0260815620422363
3650,matched,0.0,0.0,0.0736088752746582,0.3864126205444336
3650,matched,1.0,1.0,0.0117812156677246,0.1837925910949707
3650,matched,2.0,2.0,0.0117812156677246,0.1837925910949707
3650,matched,3.0,3.0,0.1978907585144043,0.1207871437072753
3650,matched,4.0,4.0,0.0161027908325195,0.2411966323852539
3650,matched,5.0,5.0,0.0389981269836425,0.2974863052368164
3650,matched,6.0,6.0,0.0704917907714843,0.269500732421875
3650,matched,7.0,7.0,0.0320615768432617,0.2864785194396972
3650,matched,8.0,8.0,0.0363192558288574,0.3467879295349121
3650,matched,9.0,9.0,0.0910754203796386,0.2917461395263672
3650,matched,10.0,10.0,0.1552734375,0.3277788162231445
3650,matched,11.0,11.0,0.1212635040283203,0.3217878341674804
3650,matched,12.0,12.0,0.1760158538818359,0.3363323211669922
3650,matched,13.0,13.0,0.1669330596923828,0.2931952476501465
3650,matched,14.0,14.0,0.1145377159118652,0.2279081344604492
3650,matched,15.0,15.0,0.3658766746520996,0.0281105041503906
3650,matched,16.0,16.0,0.3239965438842773,0.0356688499450683
3650,matched,17.0,17.0,0.5475001335144043,0.1426105499267578
3650,substituted,18.0,18.0,0.2156152725219726,0.1533007621765136
3650,matched,19.0,19.0,0.1692667007446289,0.1309051513671875
3650,substituted,20.0,20.0,0.1113724708557128,0.1752190589904785
3650,matched,21.0,21.0,0.1795754432678222,0.2468404769897461
3650,matched,22.0,22.0,0.0908331871032714,0.207770824432373
3650,matched,23.0,23.0,0.1452932357788086,0.3013324737548828
3650,matched,24.0,24.0,0.1942734718322754,0.1545238494873047
3650,matched,25.0,25.0,0.1069312095642089,0.0150651931762695
3650,matched,26.0,26.0,0.0226387977600097,0.1033473014831543
