source_id,type,token,position,delta
3607,mcmc_adv,O,28,0.13012218475341797
3607,mcmc_adv,),29,0.08236074447631836
3607,mcmc_adv,c,30,0.07500576972961426
3607,mcmc_adv,c,31,0.07500576972961426
3607,mcmc_adv,3,32,0.1828453540802002
3607,mcmc_adv,),33,0.30059194564819336
3607,mcmc_adv,c,34,0.1326291561126709
3607,mcmc_adv,c,35,0.1326291561126709
3607,mcmc_adv,2,36,0.11278700828552246
3607,mcmc_adv,),37,0.23044180870056152
3607,mcmc_adv,c,38,0.06843447685241699
3607,mcmc_adv,c,39,0.06843447685241699
3607,mcmc_adv,1,40,0.045630455017089844
3609,clean,[*],0,0.4158620834350586
3609,clean,C,1,0.3945493698120117
3609,clean,C,2,0.3945493698120117
3609,clean,C,3,0.3945493698120117
3609,clean,C,4,0.3945493698120117
3609,clean,C,5,0.3945493698120117
3609,clean,C,6,0.3945493698120117
3609,clean,O,7,0.2931528091430664
3609,clean,c,8,0.2241363525390625
3609,clean,1,9,0.21535301208496094
3609,clean,c,10,0.11174774169921875
3609,clean,c,11,0.11174774169921875
3609,clean,c,12,0.11174774169921875
3609,clean,(,13,0.09659004211425781
3609,clean,C,14,0.024663448333740234
3609,clean,(,15,0.16497230529785156
3609,clean,=,16,0.05911827087402344
3609,clean,O,17,0.2382364273071289
3609,clean,),18,0.3743553161621094
3609,clean,O,19,0.36878252029418945
3609,clean,C,20,0.43311262130737305
3609,clean,(,21,0.32307004928588867
3609,clean,=,22,0.6593437194824219
3609,clean,O,23,0.3054237365722656
3609,clean,),24,0.35836267471313477
3609,clean,c,25,0.33816099166870117
3609,clean,2,26,0.5016307830810547
3609,clean,c,27,0.3047499656677246
3609,clean,c,28,0.3047499656677246
3609,clean,c,29,0.3047499656677246
3609,clean,(,30,0.0853734016418457
3609,clean,O,31,0.0030684471130371094
3609,clean,[*],32,0.06651544570922852
3609,clean,),33,0.07784414291381836
3609,clean,c,34,0.1942615509033203
3609,clean,c,35,0.1942615509033203
3609,clean,2,36,0.15205097198486328
3609,clean,),37,0.09929847717285156
3609,clean,c,38,0.2211003303527832
3609,clean,c,39,0.2211003303527832
3609,clean,1,40,0.11675834655761719
3609,mcmc_adv,[*],0,0.5652117729187012
3609,mcmc_adv,C,1,0.5476260185241699
3609,mcmc_adv,C,2,0.5476260185241699
3609,mcmc_adv,C,3,0.5476260185241699
3609,mcmc_adv,C,4,0.5476260185241699
3609,mcmc_adv,O,5,0.8093838691711426
3609,mcmc_adv,c,6,1.0353074073791504
3609,mcmc_adv,1,7,0.9954941272735596
3609,mcmc_adv,c,8,1.1362051963806152
3609,mcmc_adv,c,9,1.1362051963806152
3609,mcmc_adv,c,10,1.1362051963806152
3609,mcmc_adv,(,11,0.5548956394195557
3609,mcmc_adv,C,12,0.614417552947998
3609,mcmc_adv,(,13,0.38008546829223633
3609,mcmc_adv,=,14,0.5677428245544434
3609,mcmc_adv,O,15,0.3272824287414551
3609,mcmc_adv,),16,0.6449799537658691
3609,mcmc_adv,O,17,0.7002599239349365
3609,mcmc_adv,C,18,0.7109518051147461
3609,mcmc_adv,(,19,0.6584799289703369
3609,mcmc_adv,=,20,0.8873038291931152
3609,mcmc_adv,O,21,0.5327203273773193
3609,mcmc_adv,),22,0.6837687492370605
3609,mcmc_adv,c,23,0.7108912467956543
3609,mcmc_adv,2,24,0.4883298873901367
3609,mcmc_adv,c,25,0.4631657600402832
3609,mcmc_adv,c,26,0.4631657600402832
3609,mcmc_adv,s,27,1.920198917388916
3609,mcmc_adv,(,28,0.24870514869689941
3609,mcmc_adv,O,29,0.015964984893798828
3609,mcmc_adv,[*],30,0.009075641632080078
3609,mcmc_adv,),31,0.09384679794311523
3609,mcmc_adv,c,32,0.14343643188476562
3609,mcmc_adv,c,33,0.14343643188476562
3609,mcmc_adv,2,34,0.21131610870361328
3609,mcmc_adv,),35,0.06934714317321777
3609,mcmc_adv,c,36,0.10894107818603516
3609,mcmc_adv,c,37,0.10894107818603516
3609,mcmc_adv,1,38,0.12034082412719727
3621,clean,[*],0,0.17310714721679688
3621,clean,C,1,0.10972309112548828
3621,clean,C,2,0.10972309112548828
3621,clean,C,3,0.10972309112548828
3621,clean,C,4,0.10972309112548828
3621,clean,C,5,0.10972309112548828
3621,clean,C,6,0.10972309112548828
3621,clean,C,7,0.10972309112548828
3621,clean,C,8,0.10972309112548828
3621,clean,C,9,0.10972309112548828
3621,clean,C,10,0.10972309112548828
3621,clean,C,11,0.10972309112548828
3621,clean,C,12,0.10972309112548828
3621,clean,N,13,0.0018572807312011719
3621,clean,C,14,0.012938499450683594
3621,clean,(,15,0.04775428771972656
3621,clean,=,16,0.2921476364135742
3621,clean,O,17,0.09708213806152344
3621,clean,),18,0.21263837814331055
3621,clean,c,19,0.31299591064453125
3621,clean,1,20,0.10540628433227539
3621,clean,c,21,0.02733135223388672
3621,clean,c,22,0.02733135223388672
3621,clean,c,23,0.02733135223388672
3621,clean,c,24,0.02733135223388672
3621,clean,(,25,0.24784564971923828
